,,,Прайс на размещение рекламного ролика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Хронометраж (сек),Блок,Кол-во показов в сутки/1 экран (сек),Период/дней,Кол-во показов в ЖК/период,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U1,Республика Башкортостан,Уфа,Ленинский,Проспект,А,07.2025,Бизнес,ЖК Видинеевский,"улица Пархоменко, 156Б",54.743697,55.969246,2021,14,412,1 154,2,1,3,1,6,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,5,5992,1335,100%,https://ibb.co/1S8hzvX,3279,4000,6557,8000
U1,Республика Башкортостан,Уфа,Ленинский,Проспект,А,07.2025,Бизнес,ЖК Видинеевский,"улица Пархоменко, 156В",54.744659,55.969713,2019,26,232,650,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,11286,709,100%,https://ibb.co/1pfqR3G,3279,4000,6557,8000
U1,Республика Башкортостан,Уфа,Ленинский,Проспект,А,07.2025,Бизнес,ЖК Видинеевский,"улица Пархоменко, 156Г",54.744939,55.970603,2023,25,173,484,1,0,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,9,4338,922,100%,,3279,4000,3279,4000
U1,Республика Башкортостан,Уфа,Ленинский,Проспект,А,07.2025,Бизнес,ЖК Видинеевский,"лица Пархоменко, 156Е",54.744482,55.972408,2025,26,233,652,3,0,1,3,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,28,18229,658,100%,,3279,4000,9836,12000
U1,Республика Башкортостан,Уфа,Ленинский,Проспект,А,07.2025,Бизнес,ЖК Видинеевский,"улица Пархоменко, 156Ж",54.743999,55.972094,2024,15,289,809,4,2,1,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,24,19566,818,100%,,3279,4000,13115,16000
U2,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 2,Б,11.2025,Комфорт,ЖК  Южный,"улица Генерала Рыленко, 8",54.695476,55.989638,2021,28,301,843,3,1,1,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,53568,23,19473,616,100%,,3279,4000,9836,12000
U3,Республика Башкортостан,Уфа,Кировский,Центр,А,10.2025,Бизнес,ЖК Выбор первых,"улица Айская, 61",54.727375,55.976172,2024,10,329,921,5,0,5,5,5,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,89280,11,9900,2020,100%,,3279,4000,16393,20000
U4,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,10.2025,Стандарт,ЖК Акварель,"улица Лётчика Кобелева, 1",54.778409,56.137887,2023,19,102,286,1,1,8,0,16,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,1,288,13901,100%,,3279,4000,3279,4000
U4,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,10.2025,Стандарт,ЖК Акварель,"улица Лётчика Кобелева, 3/3",54.778180,56.134411,2018,27,338,946,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,7628,524,100%,,3279,4000,3279,4000
U4,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,Б,10.2025,Стандарт,ЖК Акварель,"улица Ферина, 33",54.777126,56.132030,2017,18,187,524,2,0,2,2,4,Вертикальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,10,5064,1580,100%,,3279,4000,6557,8000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Чернышевского, 26",54.731545,55.928831,2023,19,321,899,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,7244,1104,100%,,3279,4000,6557,8000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Коммунистическая, 15",54.729512,55.929083,2020,15,151,423,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,3408,2348,100%,,3279,4000,6557,8000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Чернышевского, 28",54.731326,55.929774,2012,18,111,311,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,2505,1597,100%,,3279,4000,3279,4000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Коммунистическая, 11/1",54.730157,55.927978,2018,27,271,759,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,6116,654,100%,,3279,4000,3279,4000
U5,Республика Башкортостан,Уфа,Ленинский,Центр,Б,10.2025,Бизнес,ЖК Старый центр,"улица Коммунистическая, 11",54.729725,55.928023,2017,13,111,311,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,8,2505,3194,100%,,3279,4000,6557,8000
U6,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,10.2025,Бизнес,ЖК Семья,"улица Комсомольская, 94",54.748868,56.003652,2019,19,139,389,1,1,1,0,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,3137,1275,100%,,3279,4000,3279,4000
